Title,Authors,Year,PDF Link
"A Simple Baseline for Bayesian Uncertainty in Deep Learning","Wesley J. Maddox, Pavel Izmailov, Timur Garipov, Dmitry P. Vetrov, Andrew Gordon Wilson","2019","https://papers.nips.cc/paper_files/paper/2019/file/118921efba23fc329e6560b27861f0c2-Paper.pdf"
"CPM-Nets: Cross Partial Multi-View Networks","Changqing Zhang, Zongbo Han, yajie cui, Huazhu Fu, Joey Tianyi Zhou, Qinghua Hu","2019","https://papers.nips.cc/paper_files/paper/2019/file/11b9842e0a271ff252c1903e7132cd68-Paper.pdf"
"Low-Complexity Nonparametric Bayesian Online Prediction with Universal Guarantees","Alix LHERITIER, Frederic Cazals","2019","https://papers.nips.cc/paper_files/paper/2019/file/122e27d57ae8ecb37f3f1da67abb33cb-Paper.pdf"
"Finding the Needle in the Haystack with Convolutions: on the benefits of architectural bias","Stéphane d'Ascoli, Levent Sagun, Giulio Biroli, Joan Bruna","2019","https://papers.nips.cc/paper_files/paper/2019/file/124c3e4ada4a529aa0fedece80bb42ab-Paper.pdf"
"Efficiently avoiding saddle points with zero order methods: No gradients required","Emmanouil-Vasileios Vlatakis-Gkaragkounis, Lampros Flokas, Georgios Piliouras","2019","https://papers.nips.cc/paper_files/paper/2019/file/125b93c9b50703fe9dac43ec231f5f83-Paper.pdf"
"Learning metrics for persistence-based summaries and applications for graph classification","Qi Zhao, Yusu Wang","2019","https://papers.nips.cc/paper_files/paper/2019/file/12780ea688a71dabc284b064add459a4-Paper.pdf"
"PasteGAN: A Semi-Parametric Method to Generate Image from Scene Graph","Yikang LI, Tao Ma, Yeqi Bai, Nan Duan, Sining Wei, Xiaogang Wang","2019","https://papers.nips.cc/paper_files/paper/2019/file/12b1e42dc0746f22cf361267de07073f-Paper.pdf"
"Learning Local Search Heuristics for Boolean Satisfiability","Emre Yolcu, Barnabas Poczos","2019","https://papers.nips.cc/paper_files/paper/2019/file/12e59a33dea1bf0630f46edfe13d6ea2-Paper.pdf"
"Learning to Perform Local Rewriting for Combinatorial Optimization","Xinyun Chen, Yuandong Tian","2019","https://papers.nips.cc/paper_files/paper/2019/file/131f383b434fdf48079bff1e44e2d9a5-Paper.pdf"
"A Unified Bellman Optimality Principle Combining Reward Maximization and Empowerment","Felix Leibfried, Sergio Pascual-Díaz, Jordi Grau-Moya","2019","https://papers.nips.cc/paper_files/paper/2019/file/13384ffc9d8bdb21c53c6f72d46f7866-Paper.pdf"
"Learning Representations for Time Series Clustering","Qianli Ma, Jiawei Zheng, Sen Li, Gary W. Cottrell","2019","https://papers.nips.cc/paper_files/paper/2019/file/1359aa933b48b754a2f54adb688bfa77-Paper.pdf"
"Statistical-Computational Tradeoff in Single Index Models","Lingxiao Wang, Zhuoran Yang, Zhaoran Wang","2019","https://papers.nips.cc/paper_files/paper/2019/file/13d4635deccc230c944e4ff6e03404b5-Paper.pdf"
